"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","277","test_02_wizards[chromium]","tests","Sun May 11 21:54:51 GMT 2025","passed","Sun May 11 21:54:52 GMT 2025","Test1","test_sanity","",""
"","2047","test_01_wizards[chromium]","tests","Sun May 11 21:54:49 GMT 2025","passed","Sun May 11 21:54:51 GMT 2025","Test1","test_sanity","",""
"","2097","test_03_wizards[chromium]","tests","Sun May 11 21:54:52 GMT 2025","passed","Sun May 11 21:54:54 GMT 2025","Test1","test_sanity","",""
